review_item_id,decision,reviewer,reviewed_at,reviewer_comment
REV-59BFF984E7,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2024-H2 raw filename and use the reporting period and source hash as internal identity."
REV-6526CD6DA2,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2025-H1 raw filename and use the reporting period and source hash as internal identity."
REV-DE070F74FA,approved_with_conditions,Mingzhicheng,2026-07-18,"Treat the literal 'null' in Other trading names as a source missing marker. Parse it as null with value_status=missing_marker and value_reason=source_null_literal; do not interpret it as zero or as evidence that a firm has no trading names."
REV-DD5E937D6A,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2025-H2 raw filename and use the reporting period and source hash as internal identity."
REV-D7590B79E4,approved_with_conditions,Mingzhicheng,2026-07-18,"J54 and J123 are #N/A because their component cells E:I contain no entries. Preserve raw_value=#N/A; set metric_value null, value_status=not_calculable and value_reason=no_component_values; never replace with zero."
REV-189F967382,approved_with_conditions,Mingzhicheng,2026-07-18,"J54 and J123 are #N/A because their component cells E:I contain no entries. Preserve raw_value=#N/A; set metric_value null, value_status=not_calculable and value_reason=no_component_values; never replace with zero."
REV-EE0C638468,approved_with_conditions,Mingzhicheng,2026-07-18,"Map Firm group, Firm Group and Group to raw_firm_group while preserving the source header. Map Joint report and Joint Reporting variants to joint_reporting_flag. Keep count, percentage and per-1,000 measures distinct; a percent sign normally indicates percentage, with format and period-specific evidence used for exceptions such as 2025-H2 consumer credit."
REV-EB30419D16,approved_with_conditions,Mingzhicheng,2026-07-18,"Treat the empty 2023-H2 Firm Group column as the same canonical identifier field with completeness_status=entire_column_missing. Preserve nulls and do not carry values from adjacent periods."
REV-23981CDAE7,approved_with_conditions,Mingzhicheng,2026-07-18,"Treat an added Notes sheet as reference metadata availability, not a new complaint measure. Record the reference period and do not automatically carry the taxonomy to other periods."
REV-F65BAA3049,approved_with_conditions,Mingzhicheng,2026-07-18,"Treat a removed Notes sheet as unavailable reference metadata, not removal of product groups. Do not automatically carry a previous taxonomy forward."
REV-4D13ADA54B,approved_with_conditions,Mingzhicheng,2026-07-18,"FCA defines Context A and B as complaints relative to accounts or policies provided or sold. Treat shortened later product headers as presentation changes within their context table, not absolute counts. Preserve raw headers; use period-specific per-1,000 bases from explicit workbook wording and table role, and never mix context rates with counts."
REV-2D18373974,approved_with_conditions,Mingzhicheng,2026-07-18,"FCA states that firm-level complaints use five product groups and directs users to Notes for their products. Treat 'Insurance & protection' in Notes and 'Insurance & pure protection' in metric sheets as variants of insurance_and_pure_protection. Preserve both raw labels and their source locations."
REV-3AF425FDE7,approved_with_conditions,Mingzhicheng,2026-07-18,"Some periods lack Notes taxonomy evidence. Preserve taxonomy version and source period. Prior taxonomy may be used only as an explicitly marked provisional reference; do not present it as confirmed for a later period."
REV-D0F4A14413,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve Notes narrative exactly by period. Treat dates and period wording as period metadata; do not carry revised narrative backward or forward. Version any substantive definition change."
